"ID user ";"Length of proﬁle name";"Length of proﬁle description";"Number of tweets posted";"Age of the user account, in days";"Ratio of number of followings and followers";"Number of following";"Number of followers";"Frequence of tweets posted per day";"hashtags average";"mentions average";"links average";"Likes average per tweet"
"798005137";"8";"0";"73";"20";"0,0";"447";"412";"73,0";"0,0";"1,0";"1,0";"0,0"
"356107576";"10";"117";"81";"20";"0,0";"78";"52";"81,0";"0,0";"1,0";"1,0";"0,0"
"3935224455";"6";"73";"1";"20";"599,0";"10";"5990";"1,0";"0,0";"1,0";"0,0";"0,0"
"2915483085";"8";"160";"1";"20";"1,0";"3400";"3923";"1,0";"0,0";"1,0";"1,0";"0,0"
"1119750835";"6";"0";"3";"20";"4,0";"83";"338";"3,0";"0,0";"0,0";"0,0";"0,0"
"1314639446";"11";"119";"1";"20";"4,0";"124";"595";"1,0";"0,0";"1,0";"1,0";"0,0"
"838667920528011300";"10";"0";"1";"20";"0,0";"10";"0";"1,0";"1,0";"0,0";"1,0";"0,0"
"198988742";"10";"160";"3";"20";"0,0";"674";"143";"3,0";"5,0";"1,0";"0,0";"0,0"
"3397186150";"7";"83";"3";"20";"1,0";"143";"156";"3,0";"0,0";"3,0";"0,0";"0,0"
"520619817";"8";"38";"68";"20";"5,0";"268";"1596";"68,0";"0,0";"2,0";"0,0";"0,0"
"1339836415";"13";"9";"4";"20";"0,0";"463";"253";"4,0";"0,0";"0,0";"1,0";"0,0"
"1248545352";"15";"135";"2";"20";"0,0";"175";"162";"2,0";"0,0";"0,0";"1,0";"0,0"
"3072380675";"14";"39";"1";"20";"1,0";"52";"56";"1,0";"0,0";"1,0";"0,0";"0,0"
"870601859295301600";"9";"0";"80";"20";"0,0";"62";"38";"80,0";"0,0";"1,0";"0,0";"0,0"
"818235373159649300";"15";"120";"3";"20";"10,0";"95";"953";"3,0";"0,0";"1,0";"1,0";"0,0"
"867790259794346000";"11";"0";"1";"20";"6,0";"15";"93";"1,0";"0,0";"2,0";"0,0";"0,0"
"636030403";"13";"101";"8";"20";"0,0";"3537";"502";"8,0";"0,0";"3,0";"0,0";"0,0"
"4250621302";"9";"0";"8";"20";"2,0";"126";"261";"8,0";"0,0";"1,0";"0,0";"0,0"
"2418257933";"9";"24";"2";"20";"1,0";"234";"420";"2,0";"0,0";"1,0";"0,0";"0,0"
"2984286675";"13";"37";"1";"20";"2,0";"334";"877";"1,0";"0,0";"2,0";"0,0";"0,0"
"1575153109";"14";"135";"7";"20";"1,0";"685";"797";"7,0";"0,0";"2,0";"0,0";"0,0"
"4925078968";"12";"152";"1";"20";"0,0";"261";"70";"1,0";"0,0";"2,0";"0,0";"0,0"
"758149051305132000";"12";"38";"7";"20";"1,0";"899";"1172";"7,0";"0,0";"1,0";"1,0";"0,0"
"386733873";"9";"75";"3";"20";"1,0";"479";"549";"3,0";"3,0";"1,0";"0,0";"0,0"
"263593866";"12";"150";"3";"20";"1,0";"71";"124";"3,0";"2,0";"1,0";"0,0";"0,0"
"1042484834";"12";"49";"7";"20";"1,0";"353";"393";"7,0";"0,0";"1,0";"0,0";"0,0"
"393643829";"9";"7";"3";"20";"1,0";"222";"370";"3,0";"0,0";"0,0";"0,0";"0,0"
"1286747383";"13";"74";"1";"20";"0,0";"168";"150";"1,0";"0,0";"1,0";"0,0";"0,0"
"854732951980052500";"7";"56";"17";"20";"1,0";"46";"87";"17,0";"0,0";"0,0";"1,0";"0,0"
"799632229496422400";"8";"72";"4";"20";"0,0";"175";"162";"4,0";"0,0";"1,0";"0,0";"0,0"
"2985841073";"14";"13";"1";"20";"0,0";"413";"375";"1,0";"1,0";"1,0";"1,0";"0,0"
"1530870644";"11";"135";"7";"20";"0,0";"187";"118";"7,0";"2,0";"1,0";"0,0";"0,0"
"1438774669";"10";"32";"7";"20";"1,0";"345";"641";"7,0";"0,0";"1,0";"1,0";"0,0"
"67564616";"12";"10";"1";"20";"1,0";"151";"196";"1,0";"0,0";"2,0";"0,0";"0,0"
"1448715799";"10";"21";"3";"20";"0,0";"1162";"433";"3,0";"0,0";"3,0";"0,0";"0,0"
"1510228555";"7";"0";"1";"20";"0,0";"1838";"412";"1,0";"1,0";"1,0";"0,0";"0,0"
"496356805";"13";"59";"2";"20";"1,0";"184";"224";"2,0";"0,0";"0,0";"0,0";"0,0"
"4885590887";"15";"53";"12";"20";"0,0";"644";"343";"12,0";"0,0";"1,0";"0,0";"0,0"
"784417582443012100";"7";"42";"3";"20";"37,0";"197";"7392";"3,0";"0,0";"1,0";"1,0";"0,0"
"1396644715";"11";"123";"3";"20";"8,0";"497";"4018";"3,0";"0,0";"2,0";"0,0";"0,0"
"364180960";"8";"61";"1";"20";"0,0";"197";"161";"1,0";"0,0";"1,0";"0,0";"0,0"
"442057216";"11";"14";"7";"20";"1,0";"135";"190";"7,0";"0,0";"1,0";"1,0";"0,0"
"3236837518";"12";"0";"1";"20";"1,0";"139";"147";"1,0";"1,0";"1,0";"0,0";"0,0"
"950190272";"13";"94";"1";"20";"5,0";"1";"5";"1,0";"1,0";"0,0";"1,0";"0,0"
"709757195219562500";"8";"0";"1";"20";"0,0";"430";"362";"1,0";"0,0";"2,0";"0,0";"0,0"
"571658870";"13";"11";"1";"20";"1,0";"11024";"22023";"1,0";"0,0";"1,0";"0,0";"0,0"
"581065414";"15";"68";"1";"20";"2,0";"905";"2012";"1,0";"0,0";"1,0";"0,0";"0,0"
"843430701777207300";"8";"0";"11";"20";"0,0";"30";"5";"11,0";"0,0";"1,0";"0,0";"0,0"
"227038693";"12";"28";"3";"20";"1,0";"125";"175";"3,0";"0,0";"2,0";"0,0";"0,0"
"3676908377";"8";"153";"1";"20";"0,0";"494";"341";"1,0";"0,0";"2,0";"0,0";"0,0"
"3044906255";"11";"155";"3";"20";"3,0";"3063";"10306";"3,0";"0,0";"1,0";"0,0";"0,0"
"2732423854";"8";"0";"1";"20";"0,0";"48";"29";"1,0";"1,0";"3,0";"0,0";"0,0"
"422181213";"9";"116";"3";"20";"76,0";"123";"9401";"3,0";"0,0";"1,0";"0,0";"0,0"
"718115515";"8";"9";"1";"20";"1,0";"662";"1060";"1,0";"0,0";"1,0";"0,0";"0,0"
"635657621";"10";"98";"4";"20";"0,0";"120";"35";"4,0";"1,0";"0,0";"1,0";"0,0"
"3400350417";"10";"0";"1";"20";"1,0";"210";"371";"1,0";"0,0";"1,0";"0,0";"0,0"
"590531511";"8";"79";"1";"20";"2,0";"316";"811";"1,0";"0,0";"0,0";"0,0";"0,0"
"771714495492259800";"13";"0";"7";"20";"0,0";"66";"44";"7,0";"0,0";"1,0";"0,0";"0,0"
"3222517908";"10";"43";"1";"20";"1,0";"125";"194";"1,0";"0,0";"1,0";"1,0";"0,0"
"873219614947278800";"8";"68";"2";"20";"0,0";"121";"29";"2,0";"0,0";"1,0";"0,0";"0,0"
